content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
Thanks for all the beautiful wishes today!! I spent my 33rd birthday in the studio of course 😏 Wouldn’t have it any other way. Love you! https://t.co/axPfJT0d9A,Tue Dec 13 23:07:26 +0000 2022,2022-12-13 23:07:26+00:00,602625,"[Photo(previewUrl='https://pbs.twimg.com/media/Fj5MSMrWQAEfrBt?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fj5MSMrWQAEfrBt?format=jpg&name=large', type='photo')]",[],24562,,22331,96825,,https://twitter.com/taylorswift13/status/1602802403492995072,1602802403492995072,1602802403492995072
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏,Tue Nov 15 17:17:51 +0000 2022,2022-11-15 17:17:51+00:00,32877,,[],1708,,2521,3115,,https://twitter.com/taylorswift13/status/1592567568191356930,1592567568191356930,1592503899759394818
"Anti hero but make it acoustic 🥲

Now at https://t.co/WdrCmvMfo8 https://t.co/UgRTbfj0LN",Fri Nov 11 00:31:01 +0000 2022,2022-11-11 00:31:01+00:00,228241,"[Photo(previewUrl='https://pbs.twimg.com/media/FhPi9L8WIAAuB7v?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhPi9L8WIAAuB7v?format=jpg&name=large', type='photo')]",['http://store.taylorswift.com'],8938,,7083,23829,,https://twitter.com/taylorswift13/status/1590864637356310528,1590864637356310528,1590864637356310528
"Take your self loathing to the dancefloor! 2 more Anti Hero remixes available on my site until 10pm ET tonight 🙃

https://t.co/WdrCmvMfo8 https://t.co/tAYh48ILOB",Thu Nov 10 19:01:05 +0000 2022,2022-11-10 19:01:05+00:00,161916,"[Photo(previewUrl='https://pbs.twimg.com/media/FhOXb9EXEA07C-T?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhOXb9EXEA07C-T?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/FhOXb9DXgAAsLLv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhOXb9DXgAAsLLv?format=jpg&name=large', type='photo')]",['http://store.taylorswift.com'],11507,,5755,17477,,https://twitter.com/taylorswift13/status/1590781606918524929,1590781606918524929,1590781606918524929
"The anti hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl. It’s available on my site now!

https://t.co/WdrCmvu6a0 https://t.co/YsUfEl2vfe",Wed Nov 09 22:21:38 +0000 2022,2022-11-09 22:21:38+00:00,111888,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1590469625560678402/pu/img/2R_60ejqnKsL4BS_.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1590469625560678402/pu/vid/480x852/cXbiUYsuxF5OMcgO.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1590469625560678402/pu/vid/320x568/cL7wDaoy1XwGP35e.mp4?tag=12', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1590469625560678402/pu/vid/720x1280/c7WUyxX5p_OIYfr7.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1590469625560678402/pu/pl/5sx23uNnSMUYePNp.m3u8?tag=12&container=fmp4', bitrate=None)], duration=15.048, type='video')]",['http://store.taylorswift.com'],1619,,2434,13768,,https://twitter.com/taylorswift13/status/1590469691864018945,1590469691864018945,1590469691864018945
Jack’s version of ‘sexy baby’ is ‘art bro’ and we sincerely hope it confuses just as many people. Download Anti Hero featuring @bleachersmusic now at https://t.co/WdrCmvMfo8 https://t.co/52TIyZP0hf,Mon Nov 07 21:04:55 +0000 2022,2022-11-07 21:04:55+00:00,213887,"[Photo(previewUrl='https://pbs.twimg.com/media/Fg_XAvrWQAAnko4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fg_XAvrWQAAnko4?format=jpg&name=large', type='photo')]",['http://store.taylorswift.com'],7427,,5178,27945,,https://twitter.com/taylorswift13/status/1589725607075934208,1589725607075934208,1589725607075934208
"UM. Looks like I’ll get to see more of your beautiful faces than previously expected… we’re adding 8 shows to the tour 😆

https://t.co/KFuqvr0hhO https://t.co/4LTYSnwKJO",Fri Nov 04 13:00:22 +0000 2022,2022-11-04 13:00:22+00:00,317294,"[Photo(previewUrl='https://pbs.twimg.com/media/FguLV4yWIAIOfrM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FguLV4yWIAIOfrM?format=jpg&name=large', type='photo')]",['https://verifiedfan.ticketmaster.com/TaylorSwiftTix'],14803,,12135,30198,,https://twitter.com/taylorswift13/status/1588516506349891584,1588516506349891584,1588516506349891584
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰",Tue Nov 01 12:24:21 +0000 2022,2022-11-01 12:24:21+00:00,189786,,[],11246,,2096,19687,,https://twitter.com/taylorswift13/status/1587420275959910402,1587420275959910402,1587420273325838336
"I’m enchanted to announce my next tour: Taylor Swift | The Eras Tour, a journey through the musical eras of my career (past &amp; present!) The first leg of the tour will be in stadiums across the US, with international dates to be announced as soon as we can!
https://t.co/KFuqvrhSGo https://t.co/eVyTcuW8sK",Tue Nov 01 12:24:20 +0000 2022,2022-11-01 12:24:20+00:00,722741,"[Photo(previewUrl='https://pbs.twimg.com/media/FgemUm_XgAcse9Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgemUm_XgAcse9Y?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/FgemUm-XEAEc2WV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgemUm-XEAEc2WV?format=jpg&name=large', type='photo')]",['https://verifiedfan.ticketmaster.com/TaylorSwiftTix'],106955,,25778,149044,,https://twitter.com/taylorswift13/status/1587420273325838336,1587420273325838336,1587420273325838336
10 out of 10 of the Hot 100??? On my 10th album??? I AM IN SHAMBLES. https://t.co/q1n5Zc6pYA,Mon Oct 31 17:54:24 +0000 2022,2022-10-31 17:54:24+00:00,807209,,['https://twitter.com/billboard/status/1587128861711630340'],22311,https://twitter.com/billboard/status/1587128861711630340,25126,148313,,https://twitter.com/taylorswift13/status/1587140950186512386,1587140950186512386,1587140950186512386
